"b_HabitatMed_1","b_HabitatHigh_1","b_TrailCondMed_1","b_TrailCondHigh_1","b_CrowdingMed_1","b_CrowdingLow_1","b_cost_1","asc_optout_1","b_HabitatMed_2","b_HabitatHigh_2","b_TrailCondMed_2","b_TrailCondHigh_2","b_CrowdingMed_2","b_CrowdingLow_2","b_cost_2","asc_optout_2","b_HabitatMed_3","b_HabitatHigh_3","b_TrailCondMed_3","b_TrailCondHigh_3","b_CrowdingMed_3","b_CrowdingLow_3","b_cost_3","asc_optout_3","b_HabitatMed_4","b_HabitatHigh_4","b_TrailCondMed_4","b_TrailCondHigh_4","b_CrowdingMed_4","b_CrowdingLow_4","b_cost_4","asc_optout_4","delta_2","delta_3","delta_4","logLike"
-1.02987976625902,0.648788197541786,2.03589411683873,1.75394930957099,1.09496035081684,0.272535650737273,-0.000907486583750124,-0.126814904817438,2.18717872868072,0.096141639288388,-4.29469299075746,-1.12479329695028,-1.11657131808773,-1.6874131912533,-0.0889796170805649,-18.5042538749442,-1.15694574485217,-1.68610066419999,-0.944998407912068,0.318440675549298,-0.376660887310722,-1.53799488164992,-0.0563234483272273,-3.56538894446264,6.6606738535291,5.77235967107362,1.56481038341494,0.636238090379462,-1.59728600570567,4.70991927095095,-0.052363819825128,4.02568403606414,-0.704016039433946,-1.98231324645777,-1.42867621253106,-4752.77019711583
-1.02853717059988,0.649356503940098,2.03677180855494,1.75424864500428,1.09609791901494,0.273134838426431,-0.000902825246733944,-0.123567102027542,2.18504632608216,0.0962952627036009,-4.2940266748046,-1.12489793282559,-1.11704031839047,-1.68639919082472,-0.0889273840167951,-18.550493808256,-1.15615019107031,-1.69134644043192,-0.941221010667522,0.321916204194856,-0.380995219905529,-1.53881321838608,-0.0565454765294263,-3.57220853947669,6.67193321175178,5.78616348649183,1.56466872802855,0.636401836535826,-1.60206975582248,4.71863220346668,-0.0524724775629895,4.03221532945128,-0.70390266127017,-1.9829804176466,-1.4293933609434,-4752.76864399164
-1.02766448751733,0.649765269477475,2.03744448149778,1.75423083787847,1.09699552933917,0.273643176615712,-0.000897402422116653,-0.120569115237227,2.18428041241535,0.0966184788810942,-4.29317039025924,-1.12432485962359,-1.11704887116404,-1.6854929635955,-0.0888891706116492,-22.2579265767923,-1.15571519094374,-1.69713401148828,-0.938107782629593,0.325380655397959,-0.385069456318976,-1.5389335414739,-0.056714379034695,-3.57704456336128,6.68043228682721,5.79864240814738,1.56475622387306,0.636633246763195,-1.60496559731058,4.72441863781169,-0.0525563728069698,4.037222965204,-0.703815509311856,-1.98483520351976,-1.43039534462941,-4752.7674587756
-0.905751897889317,0.742621694052725,2.0833094551354,1.75183440088988,1.13030864149146,0.337168860242081,-0.00167941393930027,0.0969386485850506,1.89717153509931,-0.0458813814828102,-4.28988430514934,-1.20174632258432,-1.31170477431078,-1.73351372252777,-0.0863054829242119,-22.8696733462412,-0.77666622976657,-2.03158597536928,-0.803680711337275,0.525051806210423,-0.746800696337809,-1.69480596571438,-0.0688682508374978,-3.88950946231514,7.69876370543064,6.94175988599615,1.36444328385846,0.513455973581265,-1.58595994767127,5.68341453648346,-0.0588181812595177,4.76059915514964,-0.724550293905837,-2.10362240037629,-1.53761174947138,-4752.73132515624
-0.910872491674628,0.741358522725122,2.08789927036155,1.75815926453716,1.12922297647678,0.332912052418454,-0.00155054990931641,0.0807312421707436,1.95578202915792,-0.0272366865691568,-4.25536351469775,-1.20686063868029,-1.23974483873834,-1.70942143572052,-0.0856796378252782,-23.0885345113364,-0.931569460284472,-2.08970751556111,-0.868407927911051,0.605796346737024,-0.751166418830582,-1.74188575417924,-0.0695512199930994,-3.94579756028588,7.75326422811452,7.02509907525052,1.44346707709641,0.534372711164305,-1.69473368059143,5.70908498609374,-0.0595000893900518,4.80301125082863,-0.713468357159844,-2.09679743107059,-1.53007880367002,-4752.68205281875
-0.914859283061179,0.741453044213652,2.09133260958492,1.76378700609375,1.12277862246825,0.320929497240475,-0.00142593559787879,0.0704160110540842,1.92845905509639,-0.0272707922182636,-4.22481228083839,-1.19163141352238,-1.25387119218283,-1.66989662949682,-0.085230669140246,-24.0033850016121,-0.989055122865879,-2.17336239186705,-0.936253953724161,0.643551061203727,-0.74384017999861,-1.85286113762215,-0.0718698606942082,-3.98967643519677,7.81508440561712,7.1213921817747,1.56509941176798,0.545490721500509,-1.77588490801981,5.7660592159868,-0.0596964487141638,4.87609755402549,-0.706847163888211,-2.11447577314001,-1.52696266064574,-4752.67120675414
-0.924536741686172,0.752195134044576,2.10916996849527,1.78449939274322,1.09264206854533,0.269713871328259,-0.00103359243436167,0.0299043089006678,1.84498526604682,-0.0355952801142184,-4.08996832028193,-1.14505139041222,-1.2773971548074,-1.53360884751137,-0.0829061679457429,-24.9387870060769,-1.18678669711576,-2.50992122362356,-1.32187478937415,0.810807967706918,-0.722819837519046,-2.21479525894607,-0.0830978734389381,-4.18699206143743,8.02483386529373,7.5004035796279,2.0761835342574,0.59373882774165,-2.09484069980188,5.98424315179727,-0.0592041305315417,5.17392648004855,-0.68384288251036,-2.18402859840001,-1.51911429273292,-4752.66235918724
-0.92789224526777,0.75484756769093,2.11282564782965,1.78348098250557,1.09278896620223,0.270264203641928,-0.00106915795924295,0.0282028815196659,1.86389038790192,-0.0205159763708735,-4.09339930769272,-1.14306871023086,-1.25328473129693,-1.52935178547923,-0.0826113902349403,-24.3651736088526,-1.16003850350279,-2.51937781842169,-1.33242613106794,0.841573304052876,-0.71474426056157,-2.18217582010902,-0.0836000394054543,-4.20740649477743,8.03741954245485,7.52771542620967,2.07179051891133,0.587072113059382,-2.12417913569186,5.99224569577739,-0.0591918239786735,5.18623241129979,-0.685511730915604,-2.15257589413317,-1.5173074168896,-4752.62675298203
-0.943451358568649,0.759914146533251,2.14889262424154,1.79675593678151,1.0600835158849,0.213221927614934,-0.00035382067821209,0.0181007703826459,1.90180729317526,0.113246279051173,-3.87551312490926,-1.04086094170952,-1.18401699448452,-1.28976710343445,-0.0782532181635176,-36.8090470749603,-1.20790026334203,-2.91471829270816,-1.54725716358365,1.21706292334927,-0.723990925513553,-2.26510196609494,-0.101083875674347,-4.48870576834684,8.45539896559358,8.23710822551402,2.48147210880732,0.596668546335115,-2.51592757879356,6.33085044625442,-0.0605266283581933,5.6286317051612,-0.657524664619155,-2.15097589962165,-1.53187033294722,-4752.59647364984
-0.944644616395189,0.757130711735775,2.15154843107428,1.79324532767959,1.06691589268685,0.220919168972595,-0.000453425588382151,0.0228476035390209,1.90809133895407,0.116442904482949,-3.87111407852346,-1.03850693383686,-1.16030005978492,-1.29378761364822,-0.078141875466555,-52.6123363578185,-1.16460783539425,-2.86864120447211,-1.54630726236065,1.26432398335198,-0.746736936170466,-2.23354994258211,-0.102566011590321,-4.51027107850046,8.49227634410118,8.27347778742372,2.46143410112646,0.58663467234071,-2.55212116281664,6.36267482673088,-0.0604431841676391,5.66459850855659,-0.656636450773085,-2.14203940993823,-1.53301574840165,-4752.58473285542
-0.849334385288424,0.791116664992815,2.1572121706792,1.76110270720505,1.08019806179952,0.27666988989047,-0.000656128503966592,0.128573386536269,1.74278953715582,0.0826173387762959,-3.70929657113819,-1.07579622169427,-1.16988604274782,-1.26263939518828,-0.0733764525313567,-52.6123363578185,-0.678889981159937,-2.73388905554024,-1.1863375979881,1.61901769220718,-0.93750739689712,-1.9671656071202,-0.116921795621919,-4.42450769490409,9.34428498129481,9.25831433283832,2.2000639874321,0.528120675689249,-2.63082946784069,7.02133190752263,-0.067596448136449,6.24684609764575,-0.648776040654061,-2.1802297191021,-1.6366149698688,-4752.57152129634
-0.861006173712093,0.779307567208036,2.15368904925724,1.74900366335616,1.08597467319183,0.276643724210394,-0.000830203008352901,0.110475452804073,1.77773705557159,0.0936637555356056,-3.68557501391757,-1.05578850270869,-1.10327107438341,-1.27011689233302,-0.0727190615422803,-52.6123363578185,-0.734896600531657,-2.81191726222029,-1.27127216649288,1.77821431772939,-0.958947038633611,-1.94721595927672,-0.120667771202939,-4.49161980225134,9.41865039263513,9.42394449538512,2.22187168963539,0.531061762661629,-2.7268791133571,7.07428531952924,-0.0677564065038093,6.31457109309625,-0.642738681990515,-2.18245628376299,-1.62881693363978,-4752.55982815766
-0.858707876653329,0.769170876944604,2.14224437882692,1.73476185793048,1.08250104692965,0.276660204947086,-0.000860207273173043,0.100815746957028,1.79086280013348,0.117514804331454,-3.65315155563082,-1.03841176474711,-1.08616163064536,-1.25416980284887,-0.0721358464504892,-52.6123363578185,-0.733743376756227,-2.88078265858639,-1.30391400151965,1.85994587087756,-0.973096161358377,-1.93712015933187,-0.124693275936629,-4.58268326423133,9.53898462317486,9.58570632940909,2.21639175107451,0.531459871752077,-2.77126390496199,7.16297874644237,-0.0684294224512749,6.41366604571539,-0.641753250042106,-2.19055866610564,-1.63718781428851,-4752.55843552519
